[500, 0, 300, 500, (0.0, 0.0), 9.245427848005457, 0.0]
[1000, 0, 300, 500, (0.0, 0.0), 8.503962180010834, 0.0]
[1500, 0, 300, 500, (0.0, 0.0), 7.757533260013211, 0.0]
[2000, 0, 300, 500, (0.0, 0.0), 7.007594176009294, 0.0]
[2500, 0, 300, 500, (0.0, 0.0), 6.268887036005436, 0.0]
[3000, 0, 300, 500, (0.0, 0.0), 5.527607544001564, 0.0]
[3500, 0, 300, 500, (0.0, 0.0), 4.7816884399976685, 0.0]
[4000, 0, 300, 500, (0.0, 0.0), 4.0328257159937575, 0.0]
[4500, 0, 300, 500, (0.0, 0.0), 3.2870582479942643, 0.000102062493594771]
[5000, 0, 300, 500, (0.0, 0.0), 2.535536627994979, 0.0001035953895424835]
[5500, 0, 300, 500, (0.0, 0.0), 1.7925462359956914, 0.00010184141359477109]
[6000, 0, 300, 500, (0.0, 0.0), 1.0349039199964338, 9.9946768104575e-05]
[6500, 0, 300, 500, (0.0, 0.0), 0.28450338399622077, 9.59891286274509e-05]
[6679, 1, 300, 500, (0.0, 0.0), 2.516169487999569, 9.631205254901953e-05]
[7000, 1, 299, 500, (0.0, 0.0), 2.156533999999526, 0.00010627602143790838]
[7500, 1, 299, 500, (0.0, 0.0), 1.6019755119994719, 9.958858065359478e-05]
[8000, 1, 299, 500, (0.0, 0.0), 1.0473455319994265, 0.00010397840784313715]
[8500, 1, 299, 500, (0.0, 0.0), 0.48063086399937954, 0.00010135839529411755]
[8914, 2, 299, 500, (0.0, 0.0), 0.4906451639778315, 9.801630196078429e-05]
[9000, 2, 221, 500, (0.0, 0.0), 0.36366184797788165, 9.153428732026135e-05]
