time,mc energy,min energy
1,500,9.994953844000037
51,500,9.730885736001946
101,500,9.473624868003812
151,500,9.213960012005694
201,500,8.9502817200076
251,500,8.688019420009494
301,500,8.429252376011366
351,500,8.168201344013255
401,500,7.903210332013965
451,500,7.644866560012616
501,500,7.382669352011247
551,500,7.117966704009865
601,500,6.857187308008503
651,500,6.593454108007125
701,500,6.32625074400573
751,500,6.062201184004351
801,500,5.802066512002993
851,500,5.535554416001601
901,500,5.270371768000215
951,500,5.00700511199884
1001,500,4.748661339997491
1051,500,4.483408875996106
1101,500,4.225248375994758
1151,499.93000000000006,3.961540267993618
1201,499.4300000000005,3.7030364959938638
1251,498.930000000001,3.4402512919941133
1301,498.4300000000014,3.1734944719943665
1351,493.1879830435537,3.138133922734718
1401,488.6456350723084,3.0895242215650582
1451,483.640539477128,3.0119236613459934
1501,478.5147682067879,2.9545707640503585
1551,473.60358855209387,2.904843088765481
1601,470.8083231825011,2.7373708616168435
1651,467.2991708403727,2.6244040434438287
1701,465.0801422539057,2.44895023360763
1751,459.9495756177708,2.458851056829336
1801,456.73943878599425,2.348485649783761
1851,451.2004814139981,2.355476745617466
1901,448.58094614737126,2.214411434895315
1951,443.90347523458513,2.2104525429136355
2001,439.2730032130794,2.2070267389319556
2051,434.67265000929905,2.202096578950277
2101,430.09257325396817,2.1983144149685963
2151,427.08051180102456,2.0958260859400495
2201,421.7252623575183,2.0703099196766828
2251,417.1216646294057,2.0604607044856613
2301,414.3993134750281,1.9454379990349733
2351,410.00191684666424,1.945277777579387
2401,405.56400685173253,1.960408665729803
2451,401.1724503652176,1.970756669880224
2501,397.03602868726995,1.9679454136216317
2551,393.4528225652668,1.8887049699191583
2601,389.20681687338924,1.8829958412012344
2651,386.11160379378816,1.806136113498759
2701,382.27131436220884,1.7438118387419348
2751,377.87832277659476,1.7288955746969679
2801,373.48435450025585,1.717687654651997
2851,369.10135019022624,1.698719774607034
2901,364.7211849384781,1.681707518562068
2951,361.71227245525665,1.5736761863956306
3001,357.01196319392375,1.5638320173730778
3051,352.85896457587353,1.5542427563505248
3101,348.7136756245866,1.5500178313279664
3151,345.41230180414556,1.48020874636583
3201,342.6406107520919,1.3764956126465102
3251,338.33715877635575,1.398031883861808
3301,334.03122340652027,1.4170208950771082
3351,329.7398661966446,1.4406495182924035
3401,326.6773831330131,1.3044800083807873
3451,324.02612083281724,1.1845837657580587
3501,321.09519117173033,1.1010671406838686
3551,317.0283521539501,0.9686919934979178
3601,313.2335983577088,0.8427273834395819
3651,311.1602583356366,0.6403490255756806
3701,309.55461246892764,0.41809774983676634
3751,305.2697188659857,0.4224618366271362
3801,301.0078592068686,0.4426568974679522
3851,297.89117613488816,0.37891892805653854
3901,294.85314628330013,0.23932383503201354
3951,290.7686832937874,0.20330583457535004
3993,289.2994917952269,0.09443272308801294
