time,nb dead,nb package
100,0,300
200,0,300
300,0,300
400,0,300
500,0,300
600,0,300
700,0,300
800,0,300
900,0,300
1000,0,300
1100,0,300
1200,0,300
1300,0,300
1400,0,300
1500,0,300
1600,0,300
1700,0,300
1800,0,300
1900,0,300
2000,0,300
2100,0,300
2200,0,300
2300,0,300
2400,0,300
2500,0,300
2600,0,300
2700,0,300
2800,0,300
2900,0,300
3000,0,300
3100,0,300
3200,0,300
3300,0,300
3400,0,300
3500,0,300
3600,0,300
3700,0,300
3800,0,300
3900,0,300
4000,0,300
4100,0,300
4200,0,300
4300,1,247
4400,1,247
4500,1,247
4600,1,247
4700,1,247
4800,2,246
4900,2,246
5000,2,246
5100,2,246
5200,2,246
5300,2,246
5400,3,199
5500,3,199
5600,4,144
5700,5,42
5800,5,42
5900,5,42
6000,5,42
6100,5,42
6200,5,42
6300,5,42
6400,5,42
6500,5,42
6600,5,42
6700,5,42
6800,5,42
6900,5,42
7000,5,42
7100,5,42
7200,5,42
7300,5,42
7400,5,42
7500,5,42
7600,5,42
7700,5,42
7800,5,42
7900,5,42
8000,5,42
8100,5,42
8200,5,42
8300,5,42
8400,5,42
8500,5,42
8600,5,42
8700,5,42
8800,5,42
8900,5,42
9000,5,42
9100,6,42
9200,6,42
9300,6,42
9400,6,42
9500,6,42
9600,6,42
9700,6,42
9800,6,42
9900,6,42
10000,6,42
10100,6,42
10200,6,42
10300,6,42
10400,6,42
10500,6,42
10600,7,42
10700,7,42
10800,7,42
10900,7,42
11000,7,42
11100,7,42
11200,7,42
11300,7,42
11400,7,42
11500,7,42
11600,7,42
11700,8,42
11800,8,42
11900,8,42
12000,8,42
12100,8,42
12200,8,42
12300,8,42
12400,8,42
12500,8,42
12600,8,42
12700,8,42
12800,8,42
12900,8,42
13000,8,42
13100,8,42
13200,8,42
13300,8,42
13400,8,42
13500,8,42
13600,8,42
13700,8,42
13800,9,22
13900,9,22
14000,9,22
14100,9,22
14200,9,22
14300,9,22
14400,9,22
14500,9,22
14600,9,22
14700,9,22
14800,10,22
14900,11,22
15000,11,22
15100,12,22
15200,12,22
15300,12,22
15400,12,22
15500,12,22
15600,13,22
15700,13,22
15800,13,22
15900,13,22
16000,13,22
16100,13,22
16200,14,22
16300,14,22
16400,14,22
16500,14,22
16600,14,22
16700,15,22
16800,15,22
16900,15,22
17000,15,22
17100,15,22
17200,15,22
17300,15,22
17400,16,22
17500,16,22
17600,16,22
17700,17,22
17800,17,22
17900,17,22
18000,17,22
18100,17,22
18200,17,22
18300,17,22
18400,17,22
18500,17,22
18600,17,22
18700,17,22
18800,18,22
18900,18,22
19000,18,22
19100,18,22
19200,18,22
19300,18,22
19400,18,22
19500,18,22
19600,18,22
19700,18,22
19800,19,22
19900,19,22
20000,19,22
